analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4720727.673431827,+10%,BAU,44.449550998695976,0.7856618486482484,13764591460.846954,3708895.6308733937,1600.1337573234584,0,4720727.673431827
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4412183.849381925,+10%,BAU,44.449550998695976,0.7856618486482484,12864946325.687756,3466484.5196813475,1473.242193432459,1,4412183.849381925
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4170140.542504911,+10%,BAU,44.449550998695976,0.7856618486482484,12159201901.211664,3276320.3277474176,1371.339108822454,2,4170140.542504911
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3859901.396070098,+10%,BAU,44.449550998695976,0.7856618486482484,11254613583.213503,3032577.2664363883,1249.8023291886932,3,3859901.396070098
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3551431.8763326714,+10%,BAU,44.449550998695976,0.7856618486482484,10355185102.895624,2790224.5333078443,1131.9667043379322,4,3551431.8763326714
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3279932.4005250405,+10%,BAU,44.449550998695976,0.7856618486482484,9563553044.270773,2576917.7532377904,1028.8470365026499,5,3279932.4005250405
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3002279.4894696753,+10%,BAU,44.449550998695976,0.7856618486482484,8753978937.69799,2358776.4538554647,926.5736546395816,6,3002279.4894696753
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2737680.2125589536,+10%,BAU,44.449550998695976,0.7856618486482484,7982466323.655609,2150890.896806797,831.0705338884328,7,2737680.2125589536
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2488217.09131963,+10%,BAU,44.449550998695976,0.7856618486482484,7255087371.522413,1954897.239804348,742.7613349217216,8,2488217.09131963
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2251841.2052777666,+10%,BAU,44.449550998695976,0.7856618486482484,6565867885.112878,1769185.7242008299,660.8152074293005,9,2251841.2052777666
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2027454.3434527586,+10%,BAU,44.449550998695976,0.7856618486482484,5911605725.576478,1592893.527527015,584.7169223167695,10,2027454.3434527586
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1832785.821137828,+10%,BAU,44.449550998695976,0.7856618486482484,5343995631.261538,1439949.8964114438,526.4957935875179,11,1832785.821137828
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1643135.444645487,+10%,BAU,44.449550998695976,0.7856618486482484,4791017333.550252,1290948.8310196348,470.15211297595334,12,1643135.444645487
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1463464.4836230117,+10%,BAU,44.449550998695976,0.7856618486482484,4267136790.774892,1149788.2116343097,417.0827513407103,13,1463464.4836230117
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1296041.2575454335,+10%,BAU,44.449550998695976,0.7856618486482484,3778967917.788501,1018250.1703275458,367.8976426683817,14,1296041.2575454335
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1140719.0998708976,+10%,BAU,44.449550998695976,0.7856618486482484,3326083067.590604,896219.4767929353,322.5136446489229,15,1140719.0998708976
2036,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,996115.6062796881,+10%,BAU,44.449550998695976,0.7856618486482484,2904451456.791239,782610.0286970704,280.5003038910707,16,996115.6062796881
2037,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,864459.3125278007,+10%,BAU,44.449550998695976,0.7856618486482484,2520570999.771235,0.0,242.44616275499578,17,0.0
2038,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,747179.6505577483,+10%,BAU,44.449550998695976,0.7856618486482484,2178609602.004257,0.0,208.70644265280382,18,0.0
2039,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,642973.8066201498,+10%,BAU,44.449550998695976,0.7856618486482484,1874768548.4933076,0.0,178.86979244319798,19,0.0
2040,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,596793.4411222549,+10%,BAU,44.449550998695976,0.7856618486482484,1740116878.546625,0.0,165.3459057995003,20,0.0
2041,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,553529.0554370831,+10%,BAU,44.449550998695976,0.7856618486482484,1613967556.8832586,0.0,153.35919725504723,21,0.0
2042,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,513626.137354859,+10%,BAU,44.449550998695976,0.7856618486482484,1497619526.7715847,0.0,142.30380743383597,22,0.0
2043,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,476943.05644247774,+10%,BAU,44.449550998695976,0.7856618486482484,1390659825.3836305,0.0,132.14049660795257,23,0.0
2044,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,443089.7070534296,+10%,BAU,44.449550998695976,0.7856618486482484,1291950991.4587097,0.0,122.76118320840659,24,0.0
2045,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,412926.04696480866,+10%,BAU,44.449550998695976,0.7856618486482484,1204000470.5209298,0.0,114.40412470889875,25,0.0
2046,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,386471.4998582894,+10%,BAU,44.449550998695976,0.7856618486482484,1126864897.7039847,0.0,107.07470257983263,26,0.0
2047,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,363253.8324005634,+10%,BAU,44.449550998695976,0.7856618486482484,1059167345.6871634,0.0,100.64208118719426,27,0.0
2048,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,343478.1742170192,+10%,BAU,44.449550998695976,0.7856618486482484,1001505926.813586,0.0,95.16309316582694,28,0.0
2049,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,327020.86068310944,+10%,BAU,44.449550998695976,0.7856618486482484,953520062.5553633,0.0,90.60347634401062,29,0.0
2050,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,313696.801798324,+10%,BAU,44.449550998695976,0.7856618486482484,914670071.6563939,0.0,86.91195020879054,30,0.0
2051,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,300535.6796768993,+10%,BAU,44.449550998695976,0.7856618486482484,876295168.1034358,0.0,83.26556687318846,31,0.0
2052,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,289568.8250019077,+10%,BAU,44.449550998695976,0.7856618486482484,844318260.165851,0.0,80.22712108095917,32,0.0
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,22131510412.631447,+10%,BAU,11.979277931507866,0.6445451922671015,239443013462836.56,14264758634.070894,20771681.417901073,0,22131510412.631447
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,20317582370.347725,+10%,BAU,11.979277931507866,0.6445451922671015,219817945469227.53,13095600035.298447,19037333.16736245,1,20317582370.347725
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,18820342659.899197,+10%,BAU,11.979277931507866,0.6445451922671015,203619160051427.66,12130561378.25746,17604912.578046437,2,18820342659.899197
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,17039172999.604046,+10%,BAU,11.979277931507866,0.6445451922671015,184348508252342.5,10982517037.102194,15912041.489800943,3,17039172999.604046
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,15455334647.193188,+10%,BAU,11.979277931507866,0.6445451922671015,167212803509713.6,9961661641.727528,14408727.278432023,4,15455334647.193188
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,14046337027.183668,+10%,BAU,11.979277931507866,0.6445451922671015,151968718049351.62,9053498999.834604,13073108.970195474,5,14046337027.183668
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,12651791341.985214,+10%,BAU,11.979277931507866,0.6445451922671015,136880989509823.94,8154651283.04311,11755339.37910368,6,12651791341.985214
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,11371404732.803682,+10%,BAU,11.979277931507866,0.6445451922671015,123028359373703.17,7329384249.851977,10547836.390904441,7,11371404732.803682
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,10155762069.400398,+10%,BAU,11.979277931507866,0.6445451922671015,109876200429633.06,6545847615.640616,9404303.994772295,8,10155762069.400398
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,9064662046.746223,+10%,BAU,11.979277931507866,0.6445451922671015,98071480709076.89,5842584341.756342,8379717.669187075,9,9064662046.746223
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,8020050073.719636,+10%,BAU,11.979277931507866,0.6445451922671015,86769719823471.56,5169284716.757404,7401457.100942125,10,8020050073.719636
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,7165781782.204606,+10%,BAU,11.979277931507866,0.6445451922671015,77527306169256.48,4618670196.555161,6613001.688931409,11,7165781782.204606
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,6285505752.812981,+10%,BAU,11.979277931507866,0.6445451922671015,68003512210922.234,4051292513.9428153,5800563.584567245,12,6285505752.812981
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,5481895890.542843,+10%,BAU,11.979277931507866,0.6445451922671015,59309177143732.48,3533329640.75817,5058894.882828949,13,5481895890.542843
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,4816505299.504346,+10%,BAU,11.979277931507866,0.6445451922671015,52110250126209.86,3104455334.324542,4444795.894765196,14,4816505299.504346
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,4263209425.351351,+10%,BAU,11.979277931507866,0.6445451922671015,46124087005226.766,2747831138.7380056,3934154.001110817,15,4263209425.351351
2036,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,3773537179.654574,+10%,BAU,11.979277931507866,0.6445451922671015,40826274251704.45,2432215246.987513,3482236.23602488,16,3773537179.654574
2037,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,3325343124.581938,+10%,BAU,11.979277931507866,0.6445451922671015,35977218170043.17,0.0,3068604.8693774925,17,0.0
2038,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,2903055219.7517915,+10%,BAU,11.979277931507866,0.6445451922671015,31408443305778.715,0.0,2678888.9464364783,18,0.0
2039,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,2516749069.9019065,+10%,BAU,11.979277931507866,0.6445451922671015,27228958629193.35,0.0,2322385.1104425304,19,0.0
2040,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,2143869873.4759955,+10%,BAU,11.979277931507866,0.6445451922671015,23194741497819.297,0.0,1978279.5023490079,20,0.0
2041,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1842846346.9250007,+10%,BAU,11.979277931507866,0.6445451922671015,19937938009186.082,0.0,1700506.732803481,21,0.0
2042,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1669919830.5117898,+10%,BAU,11.979277931507866,0.6445451922671015,18067028820178.47,0.0,1540936.8880730218,22,0.0
2043,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1528712998.7053819,+10%,BAU,11.979277931507866,0.6445451922671015,16539298055360.5,0.0,1410636.7311416971,23,0.0
2044,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1358612603.375163,+10%,BAU,11.979277931507866,0.6445451922671015,14698964951577.34,0.0,1253674.7207200313,24,0.0
2045,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1159127093.8572137,+10%,BAU,11.979277931507866,0.6445451922671015,12540711373281.785,0.0,1069597.2730272035,25,0.0
2046,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1005752490.8472337,+10%,BAU,11.979277931507866,0.6445451922671015,10881336280996.371,0.0,928069.1714061806,26,0.0
2047,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,853756217.0601065,+10%,BAU,11.979277931507866,0.6445451922671015,9236873469730.67,0.0,787812.9382333289,27,0.0
2048,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,677234499.2497847,+10%,BAU,11.979277931507866,0.6445451922671015,7327067439048.9,0.0,624925.5818764807,28,0.0
2049,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,491389193.06966186,+10%,BAU,11.979277931507866,0.6445451922671015,5316388578003.143,0.0,453434.7818178881,29,0.0
2050,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,314272634.3676959,+10%,BAU,11.979277931507866,0.6445451922671015,3400146904522.0044,0.0,289998.52948668174,30,0.0
2051,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,161115499.27557674,+10%,BAU,11.979277931507866,0.6445451922671015,1743124619280.181,0.0,148671.09877840662,31,0.0
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,2444854133.143812,+10%,BAU,13.653320792154636,0.6234728142639095,23207930491765.668,1524300086.8559237,2013287.9701606717,0,2444854133.143812
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,2285059987.9043326,+10%,BAU,13.653320792154636,0.6234728142639095,21691074592088.645,1424672781.4205694,1878555.515047837,1,2285059987.9043326
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,2159706309.371151,+10%,BAU,13.653320792154636,0.6234728142639095,20501146972748.71,1346518170.687153,1772529.1672638536,2,2159706309.371151
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,1999034160.5215306,+10%,BAU,13.653320792154636,0.6234728142639095,18975956568988.42,1246343453.8700507,1637909.6912522358,3,1999034160.5215306
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,1839278497.316608,+10%,BAU,13.653320792154636,0.6234728142639095,17459465962426.873,1146740140.9370801,1504482.1819823238,4,1839278497.316608
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,1698669535.8400993,+10%,BAU,13.653320792154636,0.6234728142639095,16124726617356.01,1059074276.0145957,1387129.6072580507,5,1698669535.8400993
