analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4720727.673431827,+10%,HC,0.4539338595140114,26.497135616076594,1347839332298.689,125085761.36948885,156686.32237972258,0,4720727.673431827
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4412183.849381925,+10%,HC,0.4539338595140114,26.497135616076594,1259745392007.9155,116910233.82013573,144261.00331117847,1,4412183.849381925
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4170140.542504911,+10%,HC,0.4539338595140114,26.497135616076594,1190638357733.4058,110496779.49285184,134282.57526188897,2,4170140.542504911
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3859901.396070098,+10%,HC,0.4539338595140114,26.497135616076594,1102060377195.1575,102276330.75635277,122381.60076676785,3,3859901.396070098
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3551431.8763326714,+10%,HC,0.4539338595140114,26.497135616076594,1013987651912.2904,94102772.05844416,110843.0461811401,4,3551431.8763326714
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3279932.4005250405,+10%,HC,0.4539338595140114,26.497135616076594,936470434757.0852,86908813.62827565,100745.48937116723,5,3279932.4005250405
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3002279.4894696753,+10%,HC,0.4539338595140114,26.497135616076594,857196318532.6271,79551806.78984319,90730.80153140445,6,3002279.4894696753
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2737680.2125589536,+10%,HC,0.4539338595140114,26.497135616076594,781649212791.872,72540683.865624,81379.06284218737,7,2737680.2125589536
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2488217.09131963,+10%,HC,0.4539338595140114,26.497135616076594,710423709008.4852,65930625.710935876,72731.7584808707,8,2488217.09131963
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2251841.2052777666,+10%,HC,0.4539338595140114,26.497135616076594,642934809318.8817,59667341.80211435,64707.53094908953,9,2251841.2052777666
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2027454.3434527586,+10%,HC,0.4539338595140114,26.497135616076594,578868957835.6603,53721732.693871275,57255.92861952516,10,2027454.3434527586
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1832785.821137828,+10%,HC,0.4539338595140114,26.497135616076594,523288142908.9257,48563574.45791133,51554.87112753027,11,1832785.821137828
