analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,33102845496.020138,+10%,HC,11.979277931507866,0.4501052162229071,358142979488552.4,14899763429.579632,31068903.47063192,0,33102845496.020138
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,30623118752.0727,+10%,HC,11.979277931507866,0.4501052162229071,331314569087955.4,13783625487.321444,28693498.255862374,1,30623118752.0727
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,28604396568.101406,+10%,HC,11.979277931507866,0.4501052162229071,309473812896345.25,12874988102.211065,26757105.863018014,2,28604396568.101406
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,26129094940.31026,+10%,HC,11.979277931507866,0.4501052162229071,282693278267786.9,11760841927.817219,24400670.313684024,3,26129094940.31026
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,23929731108.458496,+10%,HC,11.979277931507866,0.4501052162229071,258898142112091.38,10770896794.728739,22309252.905798916,4,23929731108.458496
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,21918719147.08804,+10%,HC,11.979277931507866,0.4501052162229071,237140803586044.6,9865729821.029236,20400037.628489487,5,21918719147.08804
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,19913479420.061676,+10%,HC,11.979277931507866,0.4501052162229071,215445915437762.12,8963160960.117271,18502495.21779501,6,19913479420.061676
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,18023445814.876316,+10%,HC,11.979277931507866,0.4501052162229071,194997453785848.9,8112446975.586755,16718106.700329756,7,18023445814.876316
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,16241234903.232956,+10%,HC,11.979277931507866,0.4501052162229071,175715536584812.47,7310264547.846696,15039492.7762941,8,16241234903.232956
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,14650655654.649172,+10%,HC,11.979277931507866,0.4501052162229071,158506901415701.5,6594336531.243222,13543622.191464616,9,14650655654.649172
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,13069518092.568039,+10%,HC,11.979277931507866,0.4501052162229071,141400416792405.75,5882658266.984533,12061455.55239221,10,13069518092.568039
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,11818255051.029068,+10%,HC,11.979277931507866,0.4501052162229071,127862877432698.67,5319458245.120903,10906575.582131764,11,11818255051.029068
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,10478129001.315153,+10%,HC,11.979277931507866,0.4501052162229071,113363920344780.98,4716260519.74847,9669715.677569129,12,10478129001.315153
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,9271619156.716496,+10%,HC,11.979277931507866,0.4501052162229071,100310570276165.75,4173204145.270326,8556190.71284611,13,9271619156.716496
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,8300665810.651927,+10%,HC,11.979277931507866,0.4501052162229071,89805729405439.05,3736172979.497578,7660069.495366328,14,8300665810.651927
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,7433248387.721116,+10%,HC,11.979277931507866,0.4501052162229071,80421053989965.4,3345743872.7937884,6859513.800074099,15,7433248387.721116
2036,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,6627844102.700789,+10%,HC,11.979277931507866,0.4501052162229071,71707304884478.19,2983227202.9378586,6116202.862816683,16,6627844102.700789
2037,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,5886387851.712684,+10%,HC,11.979277931507866,0.4501052162229071,63685415922660.15,0.0,5431920.180291452,17,0.0
2038,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,5209665102.613591,+10%,HC,11.979277931507866,0.4501052162229071,56363885159415.89,0.0,4807388.4930169005,18,0.0
2039,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,4565678817.964673,+10%,HC,11.979277931507866,0.4501052162229071,49396533462666.56,0.0,4213079.735564294,19,0.0
2040,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,3987657476.2683454,+10%,HC,11.979277931507866,0.4501052162229071,43142863047898.69,0.0,3679654.7893552794,20,0.0
2041,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,3505797371.7586474,+10%,HC,11.979277931507866,0.4501052162229071,37929570627266.24,0.0,3235013.078799538,21,0.0
2042,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,3202930515.3382816,+10%,HC,11.979277931507866,0.4501052162229071,34652823969346.387,0.0,2955539.3563455534,22,0.0
2043,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,2938193167.87555,+10%,HC,11.979277931507866,0.4501052162229071,31788604263110.01,0.0,2711250.0576006533,23,0.0
2044,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,2604807030.7194624,+10%,HC,11.979277931507866,0.4501052162229071,28181666469934.03,0.0,2403614.3332206737,24,0.0
2045,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,2237767048.151591,+10%,HC,11.979277931507866,0.4501052162229071,24210624374350.797,0.0,2064924.1528883795,25,0.0
2046,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1928353772.4775836,+10%,HC,11.979277931507866,0.4501052162229071,20863051355091.027,0.0,1779409.6500757139,26,0.0
2047,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1622346244.5401316,+10%,HC,11.979277931507866,0.4501052162229071,17552325459499.309,0.0,1497037.838440696,27,0.0
2048,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1296579461.1324227,+10%,HC,11.979277931507866,0.4501052162229071,14027822212729.607,0.0,1196432.9565237083,28,0.0
