analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4720727.673431827,+10%,BAU,44.449550998695976,0.7856618486482484,13764591460.846954,3708895.6308733937,1600.1337573234584,0,4720727.673431827
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4412183.849381925,+10%,BAU,44.449550998695976,0.7856618486482484,12864946325.687756,3466484.5196813475,1464.674139179551,1,4412183.849381925
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4170140.542504911,+10%,BAU,44.449550998695976,0.7856618486482484,12159201901.211664,3276320.3277474176,1355.14305189004,2,4170140.542504911
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3876094.3467443706,+10%,BAU,44.449550998695976,0.7856618486482484,11301828624.197847,3045299.449998207,1232.4644114687753,3,3876094.3467443706
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3560888.7378664035,+10%,BAU,44.449550998695976,0.7856618486482484,10382759206.830112,2797654.4286228465,1107.3212694084314,4,3560888.7378664035
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3285202.0526391915,+10%,BAU,44.449550998695976,0.7856618486482484,9578918177.256582,2581057.9178595273,998.6022199789986,5,3285202.0526391915
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3007934.6644713026,+10%,BAU,44.449550998695976,0.7856618486482484,8770468169.638882,2363219.5091016726,893.2721830777201,6,3007934.6644713026
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2744075.1125063454,+10%,BAU,44.449550998695976,0.7856618486482484,8001112428.938113,2155915.1257213857,795.7106310578953,7,2744075.1125063454
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2494398.4288372053,+10%,BAU,44.449550998695976,0.7856618486482484,7273110776.280515,1959753.680865525,705.8554008380239,8,2494398.4288372053
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2257769.257512643,+10%,BAU,44.449550998695976,0.7856618486482484,6583152766.346519,1773843.1686785663,623.095409334698,9,2257769.257512643
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2032771.1225282475,+10%,BAU,44.449550998695976,0.7856618486482484,5927108270.295073,1597070.718004318,546.7757379347204,10,2032771.1225282475
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1837887.0069915722,+10%,BAU,44.449550998695976,0.7856618486482484,5358869554.118349,1443957.7035195949,485.358174386053,11,1837887.0069915722
