analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4720727.673431827,+10%,HC,0.4539338595140114,26.497135616076594,1347839332298.689,125085761.36948885,156686.32237972258,0,4720727.673431827
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4412183.849381925,+10%,HC,0.4539338595140114,26.497135616076594,1259745392007.9155,116910233.82013573,144261.00331117847,1,4412183.849381925
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4170140.542504911,+10%,HC,0.4539338595140114,26.497135616076594,1190638357733.4058,110496779.49285184,134282.57526188897,2,4170140.542504911
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3876094.3467443706,+10%,HC,0.4539338595140114,26.497135616076594,1106683710150.2847,102705397.5663934,122895.01264476881,3,3876094.3467443706
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3560888.7378664035,+10%,HC,0.4539338595140114,26.497135616076594,1016687729276.8464,94353351.80100591,111138.20243816919,4,3560888.7378664035
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3285202.0526391915,+10%,HC,0.4539338595140114,26.497135616076594,937975000340.683,87048444.31499386,100907.35053665067,5,3285202.0526391915
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3007934.6644713026,+10%,HC,0.4539338595140114,26.497135616076594,858810956746.3761,79701652.72879395,90901.70452777694,6,3007934.6644713026
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2744075.1125063454,+10%,HC,0.4539338595140114,26.497135616076594,783475053694.2648,72710130.39678127,81569.15479021729,7,2744075.1125063454
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2494398.4288372053,+10%,HC,0.4539338595140114,26.497135616076594,712188574598.8667,66094413.44942781,72912.44189028277,8,2494398.4288372053
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2257769.257512643,+10%,HC,0.4539338595140114,26.497135616076594,644627358120.4268,59824418.20612106,64877.87583067223,9,2257769.257512643
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2032771.1225282475,+10%,HC,0.4539338595140114,26.497135616076594,580386978881.3176,53862612.11007523,57406.07608115113,10,2032771.1225282475
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1837887.0069915722,+10%,HC,0.4539338595140114,26.497135616076594,524744608820.68286,48698741.2712808,51698.36360562249,11,1837887.0069915722
