analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4720727.673431827,+10%,BAU,0.4539338595140114,26.497135616076594,1347839332298.689,125085761.36948885,156686.32237972258,0,4720727.673431827
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4412183.849381925,+10%,BAU,0.4539338595140114,26.497135616076594,1259745392007.9155,116910233.82013573,144261.00331117847,1,4412183.849381925
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4170140.542504911,+10%,BAU,0.4539338595140114,26.497135616076594,1190638357733.4058,110496779.49285184,134282.57526188897,2,4170140.542504911
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3859901.396070098,+10%,BAU,0.4539338595140114,26.497135616076594,1102060377195.1575,102276330.75635277,122381.60076676785,3,3859901.396070098
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3549305.458581139,+10%,BAU,0.4539338595140114,26.497135616076594,1013380527400.8418,94046428.07890536,110776.67897229562,4,3549305.458581139
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3276718.6534223994,+10%,BAU,0.4539338595140114,26.497135616076594,935552861228.4576,86823658.5354612,100646.77681095747,5,3276718.6534223994
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2999728.4366096407,+10%,BAU,0.4539338595140114,26.497135616076594,856467954258.8564,79484211.19624707,90653.70708648293,6,2999728.4366096407
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2735669.140164959,+10%,BAU,0.4539338595140114,26.497135616076594,781075021129.01,72487396.20766656,81319.28259978349,7,2735669.140164959
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2486819.548813063,+10%,BAU,0.4539338595140114,26.497135616076594,710024689431.5858,65893594.83761014,72690.90765462689,8,2486819.548813063
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2251644.1513115168,+10%,BAU,0.4539338595140114,26.497135616076594,642878547423.5405,59662120.43644695,64701.86852689481,9,2251644.1513115168
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2028295.771254249,+10%,BAU,0.4539338595140114,26.497135616076594,579109198231.7587,53744028.1204385,57279.69079710325,10,2028295.771254249
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1834291.4180414644,+10%,BAU,0.4539338595140114,26.497135616076594,523718013654.6434,48603468.46325013,51597.22242326912,11,1834291.4180414644
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1644284.2586899246,+10%,BAU,0.4539338595140114,26.497135616076594,469468088535.3294,43568822.9938869,46069.84246414895,12,1644284.2586899246
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1463829.3495094012,+10%,BAU,0.4539338595140114,26.497135616076594,417945475682.9171,38787284.79274379,40851.24462967537,13,1463829.3495094012
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1295926.8768846681,+10%,BAU,0.4539338595140114,26.497135616076594,370006773802.8102,34338350.205331646,36021.63945679878,14,1295926.8768846681
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1140706.6310298967,+10%,BAU,0.4539338595140114,26.497135616076594,325689039969.19495,30225458.300557017,31580.437760612986,15,1140706.6310298967
2036,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,996390.3768125011,+10%,BAU,0.4539338595140114,26.497135616076594,284484561087.9093,26401490.940954503,27474.38097162593,16,996390.3768125011
2037,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,864959.0041435153,+10%,BAU,0.4539338595140114,26.497135616076594,246958911265.26562,0.0,23754.236797872105,17,0.0
2038,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,747781.349427639,+10%,BAU,0.4539338595140114,26.497135616076594,213502914050.80276,0.0,20453.152160238802,18,0.0
2039,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,643575.5776975639,+10%,BAU,0.4539338595140114,26.497135616076594,183750586124.58093,0.0,17531.459671560144,19,0.0
2040,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,597369.5303821051,+10%,BAU,0.4539338595140114,26.497135616076594,170558058982.56195,0.0,16206.426764523036,20,0.0
2041,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,554053.8701160402,+10%,BAU,0.4539338595140114,26.497135616076594,158190781170.7818,0.0,15031.288026847687,21,0.0
2042,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,514096.11938144785,+10%,BAU,0.4539338595140114,26.497135616076594,146782237447.0304,0.0,13947.248202216828,22,0.0
2043,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,477348.9598395384,+10%,BAU,0.4539338595140114,26.497135616076594,136290366191.7596,0.0,12950.310595540997,23,0.0
2044,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,443431.2496639751,+10%,BAU,0.4539338595140114,26.497135616076594,126606345634.2048,0.0,12030.134962162141,24,0.0
2045,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,413197.31034628453,+10%,BAU,0.4539338595140114,26.497135616076594,117974097514.47992,0.0,11209.898745825882,25,0.0
2046,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,386660.419869854,+10%,BAU,0.4539338595140114,26.497135616076594,110397412898.17929,0.0,10489.962173584996,26,0.0
2047,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,363358.29081838636,+10%,BAU,0.4539338595140114,26.497135616076594,103744301718.17435,0.0,9857.783549260927,27,0.0
