analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4720727.673431827,+10%,HC,0.4539338595140114,26.497135616076594,1347839332298.689,125085761.36948885,156686.32237972258,0,4720727.673431827
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4412183.849381925,+10%,HC,0.4539338595140114,26.497135616076594,1259745392007.9155,116910233.82013573,143422.0128801012,1,4412183.849381925
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4170140.542504911,+10%,HC,0.4539338595140114,26.497135616076594,1190638357733.4058,110496779.49285184,132696.64496938806,2,4170140.542504911
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3859901.396070098,+10%,HC,0.4539338595140114,26.497135616076594,1102060377195.1575,102276330.75635277,120179.68413313192,3,3859901.396070098
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3549305.458581139,+10%,HC,0.4539338595140114,26.497135616076594,1013380527400.8418,94046428.07890536,108077.03324729977,4,3549305.458581139
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3276718.6534223994,+10%,HC,0.4539338595140114,26.497135616076594,935552861228.4576,86823658.5354612,97531.38578306671,5,3276718.6534223994
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2999728.4366096407,+10%,HC,0.4539338595140114,26.497135616076594,856467954258.8564,79484211.19624707,87231.26114126453,6,2999728.4366096407
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2735669.140164959,+10%,HC,0.4539338595140114,26.497135616076594,781075021129.01,72487396.20766656,77677.91085128004,7,2735669.140164959
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2486819.548813063,+10%,HC,0.4539338595140114,26.497135616076594,710024689431.5858,65893594.83761014,68907.8961093354,8,2486819.548813063
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2251644.1513115168,+10%,HC,0.4539338595140114,26.497135616076594,642878547423.5405,59662120.43644695,60848.454513638106,9,2251644.1513115168
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2028295.771254249,+10%,HC,0.4539338595140114,26.497135616076594,579109198231.7587,53744028.1204385,53422.82353687973,10,2028295.771254249
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1834291.4180414644,+10%,HC,0.4539338595140114,26.497135616076594,523718013654.6434,48603468.46325013,47433.66421471471,11,1834291.4180414644
