analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4315450.323787816,BAU,HC,0.4539338595140114,26.497135616076594,1232126503656.985,114347072.4738474,143234.7060501245,0,4315450.323787816
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4055728.313804298,BAU,HC,0.4539338595140114,26.497135616076594,1157971931579.123,107465183.15283413,132606.31371671485,1,4055728.313804298
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3788115.217077292,BAU,HC,0.4539338595140114,26.497135616076594,1081564334581.5409,100374202.63622044,121980.98878277534,2,3788115.217077292
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3446159.788174522,BAU,HC,0.4539338595140114,26.497135616076594,983930874477.0398,91313363.26193011,109263.55574892632,3,3446159.788174522
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3116381.882224974,BAU,HC,0.4539338595140114,26.497135616076594,889774281826.4052,82575193.36479917,97264.78584357165,4,3116381.882224974
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2829657.899861181,BAU,HC,0.4539338595140114,26.497135616076594,807910237196.5458,74977829.1197242,86914.98331760439,5,2829657.899861181
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2553091.7285170946,BAU,HC,0.4539338595140114,26.497135616076594,728946401638.1543,67649617.77080086,77156.06082779208,6,2553091.7285170946
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2307773.957260362,BAU,HC,0.4539338595140114,26.497135616076594,658904458131.7404,61149399.51677756,68599.86094501175,7,2307773.957260362
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2088904.510600875,BAU,HC,0.4539338595140114,26.497135616076594,596413912340.174,55349986.10642549,61059.66351756233,8,2088904.510600875
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1892157.8245761213,BAU,HC,0.4539338595140114,26.497135616076594,540239750162.5867,50136762.48481395,54371.889415363374,9,1892157.8245761213
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1713907.4658262248,BAU,HC,0.4539338595140114,26.497135616076594,489346569886.2489,45413638.55540364,48401.26922744888,10,1713907.4658262248
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1546402.2935508934,BAU,HC,0.4539338595140114,26.497135616076594,441521303280.2573,40975231.289229915,43499.120320474234,11,1546402.2935508934
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1391863.674248041,BAU,HC,0.4539338595140114,26.497135616076594,397398184162.883,36880400.53564099,38997.47860827204,12,1391863.674248041
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1246709.9491447927,BAU,HC,0.4539338595140114,26.497135616076594,355954594644.9131,33034242.596401528,34792.06994437774,13,1246709.9491447927
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1111066.5679554318,BAU,HC,0.4539338595140114,26.497135616076594,317226352521.9999,29440081.529603858,30883.254323426776,14,1111066.5679554318
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,984470.1070424116,BAU,HC,0.4539338595140114,26.497135616076594,281081143318.61914,26085637.93627622,27255.033061889902,15,984470.1070424116
2036,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,865606.7659977691,BAU,HC,0.4539338595140114,26.497135616076594,247143857096.82455,22936099.868836366,23868.16514298293,16,865606.7659977691
2037,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,756627.712346359,BAU,HC,0.4539338595140114,26.497135616076594,216028684803.63492,0.0,20779.15110520723,17,0.0
2038,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,658790.7380500457,BAU,HC,0.4539338595140114,26.497135616076594,188094745116.36578,0.0,18019.10039265761,18,0.0
2039,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,570635.7226551872,BAU,HC,0.4539338595140114,26.497135616076594,162925151505.34335,0.0,15544.525779973304,19,0.0
2040,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,533093.768747966,BAU,HC,0.4539338595140114,26.497135616076594,152206354407.11713,0.0,14462.64779576427,20,0.0
2041,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,497804.98923204525,BAU,HC,0.4539338595140114,26.497135616076594,142130872763.03473,0.0,13505.27552994356,21,0.0
2042,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,464943.21459392685,BAU,HC,0.4539338595140114,26.497135616076594,132748337812.82602,0.0,12613.747058974728,22,0.0
2043,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,434211.7772092386,BAU,HC,0.4539338595140114,26.497135616076594,123974046451.28995,0.0,11780.013893801572,23,0.0
2044,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,405300.60964687745,BAU,HC,0.4539338595140114,26.497135616076594,115719469725.21922,0.0,10995.66401329033,24,0.0
2045,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,379206.32252417406,BAU,HC,0.4539338595140114,26.497135616076594,108269155077.70924,0.0,10287.735115483933,25,0.0
2046,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,356024.3482166804,BAU,HC,0.4539338595140114,26.497135616076594,101650349899.04427,0.0,9658.816247407187,26,0.0
2047,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,335509.28329475346,BAU,HC,0.4539338595140114,26.497135616076594,95792987788.94974,0.0,9102.249699706004,27,0.0
2048,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,317965.54876004986,BAU,HC,0.4539338595140114,26.497135616076594,90783985559.4078,0.0,8626.29430785493,28,0.0
2049,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,303457.0665338504,BAU,HC,0.4539338595140114,26.497135616076594,86641593888.20766,0.0,8232.684251257491,29,0.0
2050,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,291679.17668467126,BAU,HC,0.4539338595140114,26.497135616076594,83278827745.27853,0.0,7913.154212356366,30,0.0
2051,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,279782.0253364169,BAU,HC,0.4539338595140114,26.497135616076594,79882010635.97252,0.0,7590.388650630109,31,0.0
2052,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,269723.1941105123,BAU,HC,0.4539338595140114,26.497135616076594,77010061796.4894,0.0,7317.496071902422,32,0.0
