analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4712938.599809567,+10%,BAU,0.4539338595140114,26.497135616076594,1345615433671.9292,124879373.22939624,156427.79416436178,0,4712938.599809567
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4383014.295580068,+10%,BAU,0.4539338595140114,26.497135616076594,1251417042092.4958,116137324.19718748,142473.83024223064,1,4383014.295580068
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4101213.4657302164,+10%,BAU,0.4539338595140114,26.497135616076594,1170958632156.3174,108670409.39193304,130503.33955382157,2,4101213.4657302164
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3767262.9812238077,+10%,BAU,0.4539338595140114,26.497135616076594,1075610705057.8826,99821678.11491224,117295.34738656209,3,3767262.9812238077
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3441844.4144942723,+10%,BAU,0.4539338595140114,26.497135616076594,982698769856.275,91199018.22029048,104804.82380517172,4,3441844.4144942723
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3159743.749570111,+10%,BAU,0.4539338595140114,26.497135616076594,902154752459.9093,83724158.64440958,94049.63294394554,5,3159743.749570111
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2881389.9978529443,+10%,BAU,0.4539338595140114,26.497135616076594,822680535599.4907,76348581.5359161,83790.01255080813,6,2881389.9978529443
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2623726.8806680175,+10%,BAU,0.4539338595140114,26.497135616076594,749113808635.1152,69521246.97660607,74499.3682687622,7,2623726.8806680175
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2387081.342240912,+10%,BAU,0.4539338595140114,26.497135616076594,681547919100.7207,63250818.05196359,66144.22554872495,8,2387081.342240912
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2169791.2903229455,+10%,BAU,0.4539338595140114,26.497135616076594,619508314456.6024,57493254.07826891,58636.461963317415,9,2169791.2903229455
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1971159.522323109,+10%,BAU,0.4539338595140114,26.497135616076594,562795932791.1757,52230081.183916174,51917.92479998595,10,1971159.522323109
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1806010.048574388,+10%,BAU,0.4539338595140114,26.497135616076594,515643253834.5571,47854093.18107264,46702.325143049675,11,1806010.048574388
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1632871.8916419514,+10%,BAU,0.4539338595140114,26.497135616076594,466209684694.6551,43266427.95651631,41442.31129187728,12,1632871.8916419514
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1459764.1429902292,+10%,BAU,0.4539338595140114,26.497135616076594,416784797579.98517,38679568.46429793,36349.052551343244,13,1459764.1429902292
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1294779.7526056168,+10%,BAU,0.4539338595140114,26.497135616076594,369679252427.0185,34307954.69774113,31620.1451770926,14,1294779.7526056168
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1140331.5768904735,+10%,BAU,0.4539338595140114,26.497135616076594,325581956325.3531,30215520.44016135,27301.674947662486,15,1140331.5768904735
2036,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,996207.9506624229,+10%,BAU,0.4539338595140114,26.497135616076594,284432475655.8902,26396657.170515962,23373.523119498434,16,996207.9506624229
2037,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,864781.1325295424,+10%,BAU,0.4539338595140114,26.497135616076594,246908126222.36615,0.0,19875.363436521806,17,0.0
