analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4712938.599809567,+10%,HC,44.449550998695976,0.7856618486482484,13741880255.353731,3702776.052892072,1597.4935796848713,0,4712938.599809567
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4383014.295580068,+10%,HC,44.449550998695976,0.7856618486482484,12779894397.478165,3443567.114117136,1463.5023868216097,1,4383014.295580068
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4101213.4657302164,+10%,HC,44.449550998695976,0.7856618486482484,11958225882.676712,3222166.9531866913,1348.6726315000449,2,4101213.4657302164
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3767262.9812238077,+10%,HC,44.449550998695976,0.7856618486482484,10984500579.001028,2959794.7981724082,1219.8068202969062,3,3767262.9812238077
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3441844.4144942723,+10%,HC,44.449550998695976,0.7856618486482484,10035652449.079111,2704125.845451218,1097.037311818634,4,3441844.4144942723
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3159743.749570111,+10%,HC,44.449550998695976,0.7856618486482484,9213109681.91891,2482490.115542001,991.1463395808363,5,3159743.749570111
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2881389.9978529443,+10%,HC,44.449550998695976,0.7856618486482484,8401492079.924195,2263798.192389717,889.2643306916565,6,2881389.9978529443
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2623726.8806680175,+10%,HC,44.449550998695976,0.7856618486482484,7650203764.239474,2061362.1114137368,796.4780143025001,7,2623726.8806680175
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2387081.342240912,+10%,HC,44.449550998695976,0.7856618486482484,6960198031.476396,1875438.740218737,712.5711540664905,8,2387081.342240912
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2169791.2903229455,+10%,HC,44.449550998695976,0.7856618486482484,6326628590.479022,1704722.2363359935,636.7372078601707,9,2169791.2903229455
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1971159.522323109,+10%,HC,44.449550998695976,0.7856618486482484,5747462553.630324,1548664.834288972,568.4815211795755,10,1971159.522323109
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1806010.048574388,+10%,HC,44.449550998695976,0.7856618486482484,5265923436.489841,1418913.1934402667,518.8040428864157,11,1806010.048574388
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1632871.8916419514,+10%,HC,44.449550998695976,0.7856618486482484,4761091096.79114,1282885.1489931778,467.21539151030817,12,1632871.8916419514
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1459764.1429902292,+10%,HC,44.449550998695976,0.7856618486482484,4256347420.872689,1146880.9951721295,416.02816595835924,13,1459764.1429902292
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1294779.7526056168,+10%,HC,44.449550998695976,0.7856618486482484,3775289650.088345,1017259.0540244506,367.53954859470076,14,1294779.7526056168
