analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4712938.599809567,+10%,BAU,0.4539338595140114,26.497135616076594,1345615433671.9292,124879373.22939624,156427.79416436178,0,4712938.599809567
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4383014.295580068,+10%,BAU,0.4539338595140114,26.497135616076594,1251417042092.4958,116137324.19718748,143307.27399226426,1,4383014.295580068
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4101213.4657302164,+10%,BAU,0.4539338595140114,26.497135616076594,1170958632156.3174,108670409.39193304,132063.05645185377,2,4101213.4657302164
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3767520.056236942,+10%,BAU,0.4539338595140114,26.497135616076594,1075684103872.2229,99828489.86639877,119452.56836680262,3,3767520.056236942
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3437809.127230382,+10%,BAU,0.4539338595140114,26.497135616076594,981546634154.3989,91092094.66640934,107296.78876595396,4,3437809.127230382
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3151976.9272491243,+10%,BAU,0.4539338595140114,26.497135616076594,899937206917.065,83518360.10006444,96815.24472013785,5,3151976.9272491243
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2870518.45879342,+10%,BAU,0.4539338595140114,26.497135616076594,819576546350.224,76060516.89110042,86748.89912498581,6,2870518.45879342
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2608464.153654921,+10%,BAU,0.4539338595140114,26.497135616076594,744756068640.4601,69116828.4290689,77538.04381829558,7,2608464.153654921
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2365858.0159099773,+10%,BAU,0.4539338595140114,26.497135616076594,675488337618.8158,62688460.69594856,69155.14502873912,8,2365858.0159099773
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2141896.6328789853,+10%,BAU,0.4539338595140114,26.497135616076594,611543966782.9236,56754125.5570123,61548.23099290056,9,2141896.6328789853
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1936511.3070536833,+10%,BAU,0.4539338595140114,26.497135616076594,552903341952.498,51312002.72506719,54687.669552521584,10,1936511.3070536833
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1765808.2586565672,+10%,BAU,0.4539338595140114,26.497135616076594,504165033223.5689,46788860.90161112,49670.84323821923,11,1765808.2586565672
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1601149.8849873422,+10%,BAU,0.4539338595140114,26.497135616076594,457152570786.3155,42425885.644175045,44861.296076402716,12,1601149.8849873422
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1444998.3210372746,+10%,BAU,0.4539338595140114,26.497135616076594,412568931514.69196,38288316.47752765,40325.725073040536,13,1444998.3210372746
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1288617.6368039963,+10%,BAU,0.4539338595140114,26.497135616076594,367919874928.0056,34144676.27966362,35818.47150374106,14,1288617.6368039963
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1137562.4420626129,+10%,BAU,0.4539338595140114,26.497135616076594,324791326342.93866,30142146.299088325,31493.390958843047,15,1137562.4420626129
2036,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,994722.5806625129,+10%,BAU,0.4539338595140114,26.497135616076594,284008379997.89185,26357299.120188296,27428.393306676404,16,994722.5806625129
2037,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,863742.5755915499,+10%,BAU,0.4539338595140114,26.497135616076594,246611602468.67957,0.0,23720.830206654882,17,0.0
2038,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,746654.7593448436,+10%,BAU,0.4539338595140114,26.497135616076594,213181255499.40717,0.0,20422.337914332205,18,0.0
