analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4712938.599809567,+10%,HC,44.449550998695976,0.7856618486482484,13741880255.353731,3702776.052892072,1597.4935796848713,0,4712938.599809567
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4383014.295580068,+10%,HC,44.449550998695976,0.7856618486482484,12779894397.478165,3443567.114117136,1454.9909771528892,1,4383014.295580068
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4101213.4657302164,+10%,HC,44.449550998695976,0.7856618486482484,11958225882.676712,3222166.9531866913,1332.7442746243196,2,4101213.4657302164
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3767520.056236942,+10%,HC,44.449550998695976,0.7856618486482484,10985250152.536161,2959996.7722024685,1197.9415291340683,3,3767520.056236942
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3437809.127230382,+10%,HC,44.449550998695976,0.7856618486482484,10023886449.3314,2700955.4741996434,1069.0474898211937,4,3437809.127230382
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3151976.9272491243,+10%,HC,44.449550998695976,0.7856618486482484,9190463356.268938,2476388.0195591724,958.1058048910368,5,3151976.9272491243
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2870518.45879342,+10%,HC,44.449550998695976,0.7856618486482484,8369793091.112115,2255256.838914559,852.4634263297689,6,2870518.45879342
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2608464.153654921,+10%,HC,44.449550998695976,0.7856618486482484,7605701048.461976,2049370.7690932138,756.3869692695434,7,2608464.153654921
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2365858.0159099773,+10%,HC,44.449550998695976,0.7856618486482484,6898315534.4135685,1858764.3824191098,669.4815226148368,8,2365858.0159099773
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2141896.6328789853,+10%,HC,44.449550998695976,0.7856618486482484,6245293976.364911,1682806.468201162,591.1170748629388,9,2141896.6328789853
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1936511.3070536833,+10%,HC,44.449550998695976,0.7856618486482484,5646436067.668169,1521443.0534280327,520.8837272423885,10,1936511.3070536833
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1765808.2586565672,+10%,HC,44.449550998695976,0.7856618486482484,5148703962.609171,1387328.180854463,466.3232665974752,11,1765808.2586565672
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1601149.8849873422,+10%,HC,44.449550998695976,0.7856618486482484,4668596784.023138,1257962.3786020856,415.0009053253848,12,1601149.8849873422
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1444998.3210372746,+10%,HC,44.449550998695976,0.7856618486482484,4213293569.681507,1135280.0521997602,367.4539720926333,13,1444998.3210372746
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1288617.6368039963,+10%,HC,44.449550998695976,0.7856618486482484,3757322291.576839,1012417.7147321649,321.37880488773334,14,1288617.6368039963
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1137562.4420626129,+10%,HC,44.449550998695976,0.7856618486482484,3316878955.826803,893739.4111837284,278.1368848408566,15,1137562.4420626129
