analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4690321.401686242,+10%,BAU,0.4539338595140114,26.497135616076594,1339157880657.682,124280082.26346682,155677.10362645553,0,4690321.401686242
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4388706.571500435,+10%,BAU,0.4539338595140114,26.497135616076594,1253042273181.1152,116288153.20421356,142658.86280166998,1,4388706.571500435
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4150029.958158139,+10%,BAU,0.4539338595140114,26.497135616076594,1184896480960.7544,109963906.61209689,132056.71280307608,2,4150029.958158139
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3854045.7275672867,+10%,BAU,0.4539338595140114,26.497135616076594,1100388495046.6892,102121172.31391098,119997.36538484145,3,3854045.7275672867
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3554752.6001357962,+10%,BAU,0.4539338595140114,26.497135616076594,1014935768911.0195,94190761.72739908,108242.89975436023,4,3554752.6001357962
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3284351.1414195746,+10%,BAU,0.4539338595140114,26.497135616076594,937732052284.9102,87025897.60501042,97758.56645070188,5,3284351.1414195746
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3005558.4980713087,+10%,BAU,0.4539338595140114,26.497135616076594,858132525208.7927,79638691.12544695,87400.79769251554,6,3005558.4980713087
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2740609.377158951,+10%,BAU,0.4539338595140114,26.497135616076594,782485533700.8014,72618298.33727193,77818.18632654469,7,2740609.377158951
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2491302.3103844677,+10%,BAU,0.4539338595140114,26.497135616076594,711304585833.4183,66012375.17890219,69032.11005513325,8,2491302.3103844677
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2255052.4585442734,+10%,BAU,0.4539338595140114,26.497135616076594,643851670819.4783,59752430.815414555,60940.56064306361,9,2255052.4585442734
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2030309.7853990982,+10%,BAU,0.4539338595140114,26.497135616076594,579684229809.0961,53797393.72636727,53475.87019988911,10,2030309.7853990982
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1833610.1888696186,+10%,BAU,0.4539338595140114,26.497135616076594,523523512396.43896,48585417.8414981,47416.04804125787,11,1833610.1888696186
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1642227.6087345227,+10%,BAU,0.4539338595140114,26.497135616076594,468880883787.58215,43514327.66110382,41679.759521645756,12,1642227.6087345227
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1461176.9742670173,+10%,BAU,0.4539338595140114,26.497135616076594,417188182332.61005,38717004.44624162,36384.23294577392,13,1461176.9742670173
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1292727.03422468,+10%,BAU,0.4539338595140114,26.497135616076594,369093170203.3964,34253563.54041983,31570.015220177313,14,1292727.03422468
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1136925.1367690614,+10%,BAU,0.4539338595140114,26.497135616076594,324609366018.0156,30125259.53429625,27220.118387440703,15,1136925.1367690614
2036,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,992408.6312623669,+10%,BAU,0.4539338595140114,26.497135616076594,283347712357.1765,26295986.089123886,23284.38161066334,16,992408.6312623669
2037,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,861006.187397659,+10%,BAU,0.4539338595140114,26.497135616076594,245830322146.80865,0.0,19788.603441851654,17,0.0
2038,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,743964.5813872252,+10%,BAU,0.4539338595140114,26.497135616076594,212413168900.68896,0.0,16741.981146414502,18,0.0
2039,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,640054.362546929,+10%,BAU,0.4539338595140114,26.497135616076594,182745225806.03888,0.0,14096.783973452033,19,0.0
2040,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,594029.2626921003,+10%,BAU,0.4539338595140114,26.497135616076594,169604361907.7798,0.0,12798.345149561062,20,0.0
2041,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,550801.3074591409,+10%,BAU,0.4539338595140114,26.497135616076594,157262125212.8439,0.0,11866.999968561202,21,0.0
2042,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,510820.886277969,+10%,BAU,0.4539338595140114,26.497135616076594,145847108732.83655,0.0,11005.622824979846,22,0.0
2043,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,474072.7062890931,+10%,BAU,0.4539338595140114,26.497135616076594,135354946124.48358,0.0,10213.884234553532,23,0.0
2044,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,440294.0376399488,+10%,BAU,0.4539338595140114,26.497135616076594,125710624031.04166,0.0,9486.123689382404,24,0.0
2045,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,410284.6189870657,+10%,BAU,0.4539338595140114,26.497135616076594,117142479965.58035,0.0,8839.571538202694,25,0.0
2046,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,384027.0244465106,+10%,BAU,0.4539338595140114,26.497135616076594,109645538574.0039,0.0,8273.852340794336,26,0.0
2047,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,361025.2034615635,+10%,BAU,0.4539338595140114,26.497135616076594,103078169900.63432,0.0,7778.278700701866,27,0.0
2048,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,341312.8466762474,+10%,BAU,0.4539338595140114,26.497135616076594,97449993135.19955,0.0,7353.576481982159,28,0.0
2049,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,324776.81566488446,+10%,BAU,0.4539338595140114,26.497135616076594,92728705541.62328,0.0,6997.308120170893,29,0.0
2050,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,311329.183437322,+10%,BAU,0.4539338595140114,26.497135616076594,88889202630.95872,0.0,6707.579230532146,30,0.0
2051,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,298342.65564609016,+10%,BAU,0.4539338595140114,26.497135616076594,85181352028.70454,0.0,6427.784824086045,31,0.0
2052,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,287565.23698413966,+10%,BAU,0.4539338595140114,26.497135616076594,82104235580.11545,0.0,6195.585616875512,32,0.0
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,22148917398.825695,+10%,BAU,11.979277931507866,0.6883206954775355,239631341378642.88,15245558228.03419,20788018.864597272,0,22148917398.825695
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,20356980594.649117,+10%,BAU,11.979277931507866,0.6883206954775355,220244198778465.1,14012131040.731573,19074248.83520897,1,20356980594.649117
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,18866814669.880573,+10%,BAU,11.979277931507866,0.6883206954775355,204121945351850.0,12986418995.017965,17648383.395120952,2,18866814669.880573
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,17138324062.393808,+10%,BAU,11.979277931507866,0.6883206954775355,185421233467196.06,11796663137.946287,16004633.766721029,3,17138324062.393808
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,15583786799.639198,+10%,BAU,11.979277931507866,0.6883206954775355,168602540129312.12,10726642968.10129,14528480.882942827,4,15583786799.639198
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,14169199962.770718,+10%,BAU,11.979277931507866,0.6883206954775355,153297984375569.62,9752953572.73461,13187459.105908377,5,14169199962.770718
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,12759463525.746073,+10%,BAU,11.979277931507866,0.6883206954775355,138045905580401.28,8782602807.961784,11855382.371244863,6,12759463525.746073
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,11468123978.968454,+10%,BAU,11.979277931507866,0.6883206954775355,124074774522500.66,7893747073.026168,10637550.793686595,7,11468123978.968454
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,10244100224.537798,+10%,BAU,11.979277931507866,0.6883206954775355,110831939720602.31,7051226191.095434,9486105.720686352,8,10244100224.537798
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,9145348177.125614,+10%,BAU,11.979277931507866,0.6883206954775355,98944431982735.56,6294932417.663314,8454306.990764841,9,9145348177.125614
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,8091457744.2267685,+10%,BAU,11.979277931507866,0.6883206954775355,87542286516471.89,5569517821.93326,7467357.039855053,10,8091457744.2267685
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,7222737562.682425,+10%,BAU,11.979277931507866,0.6883206954775355,78143516425920.81,4971559742.397286,6665563.80761462,11,7222737562.682425
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,6329280387.60153,+10%,BAU,11.979277931507866,0.6883206954775355,68477114340717.37,4356574678.266211,5840960.89903451,12,6329280387.60153
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,5514625313.622896,+10%,BAU,11.979277931507866,0.6883206954775355,59663280028943.38,3795830731.170934,5089098.796628783,13,5514625313.622896
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,4840451219.843181,+10%,BAU,11.979277931507866,0.6883206954775355,52369323421216.38,3331782750.067543,4466893.810536073,14,4840451219.843181
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,4281021116.9880047,+10%,BAU,11.979277931507866,0.6883206954775355,46316793469486.76,2946715432.5991993,3950590.898979873,15,4281021116.9880047
2036,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,3787682817.404397,+10%,BAU,11.979277931507866,0.6883206954775355,40979317314153.47,2607140471.1241055,3495289.8909934065,16,3787682817.404397
2037,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,3336786852.06107,+10%,BAU,11.979277931507866,0.6883206954775355,36101028996406.25,0.0,3079165.0661904784,17,0.0
2038,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,2912079798.2223845,+10%,BAU,11.979277931507866,0.6883206954775355,31506081118288.67,0.0,2687216.6707410775,18,0.0
2039,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,2524246820.8983006,+10%,BAU,11.979277931507866,0.6883206954775355,27310077543325.21,0.0,2329303.823747751,19,0.0
2040,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,2150365590.9412785,+10%,BAU,11.979277931507866,0.6883206954775355,23265019311465.617,0.0,1984273.4970749025,20,0.0
2041,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1848135972.570775,+10%,BAU,11.979277931507866,0.6883206954775355,19995166995418.836,0.0,1705387.7930392725,21,0.0
2042,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1673893983.3706627,+10%,BAU,11.979277931507866,0.6883206954775355,18110025575426.92,0.0,1544604.0813281622,22,0.0
2043,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1531542917.8016188,+10%,BAU,11.979277931507866,0.6883206954775355,16569915231668.19,0.0,1413248.07010898,23,0.0
2044,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1360860560.9298491,+10%,BAU,11.979277931507866,0.6883206954775355,14723285828055.945,0.0,1255749.0482748917,24,0.0
2045,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1161177246.0259664,+10%,BAU,11.979277931507866,0.6883206954775355,12562892173606.346,0.0,1071489.0734868853,25,0.0
2046,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1007797325.8419561,+10%,BAU,11.979277931507866,0.6883206954775355,10903459554285.986,0.0,929956.0653850518,26,0.0
2047,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,855895121.2395501,+10%,BAU,11.979277931507866,0.6883206954775355,9260014486890.615,0.0,789786.6355869006,27,0.0
2048,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,679186800.9598377,+10%,BAU,11.979277931507866,0.6883206954775355,7348189585523.681,0.0,626727.0897493147,28,0.0
2049,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,493047447.19269633,+10%,BAU,11.979277931507866,0.6883206954775355,5334329394373.269,0.0,454964.9540460961,29,0.0
2050,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,315810330.89177215,+10%,BAU,11.979277931507866,0.6883206954775355,3416783396232.3037,0.0,291417.4558646532,30,0.0
2051,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,162873114.35156575,+10%,BAU,11.979277931507866,0.6883206954775355,1762140431687.7393,0.0,150292.9574186473,31,0.0
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,2429106794.111937,+10%,BAU,13.653320792154636,0.6234728142639095,23058447892895.004,1514482049.0725524,2000320.3547086418,0,2429106794.111937
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,2272901159.0469575,+10%,BAU,13.653320792154636,0.6234728142639095,21575656150081.07,1417092082.1747084,1868559.700877771,1,2272901159.0469575
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,2149291083.4438314,+10%,BAU,13.653320792154636,0.6234728142639095,20402279790408.285,1340024560.467053,1763981.1106787005,2,2149291083.4438314
