analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,33124505272.509583,+10%,HC,11.979277931507866,0.4501052162229071,358377318765758.0,14909512607.959753,31089232.402929507,0,33124505272.509583
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,30678313137.853966,+10%,HC,11.979277931507866,0.4501052162229071,331911722640121.2,13808468768.26781,28745214.739247695,1,30678313137.853966
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,28670968344.7046,+10%,HC,11.979277931507866,0.4501052162229071,310194059571978.56,12904952406.11339,26819378.390593268,2,28670968344.7046
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,26277345536.34001,+10%,HC,11.979277931507866,0.4501052162229071,284297216218662.75,11827570294.398363,24539114.217913877,3,26277345536.34001
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,24125009138.384407,+10%,HC,11.979277931507866,0.4501052162229071,261010874549993.97,10858792454.612123,22491307.059972983,4,24125009138.384407
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,22107072788.12667,+10%,HC,11.979277931507866,0.4501052162229071,239178620371529.16,9950508777.3553,20575340.817460798,5,22107072788.12667
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,20079804933.38228,+10%,HC,11.979277931507866,0.4501052162229071,217245407717444.38,9038024941.253828,18657035.614774123,6,20079804933.38228
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,18173855868.568832,+10%,HC,11.979277931507866,0.4501052162229071,196624755124066.12,8180147325.326123,16857623.38056181,7,18173855868.568832
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,16379813706.674139,+10%,HC,11.979277931507866,0.4501052162229071,177214834449231.75,7372639590.133501,15167817.680509746,8,16379813706.674139
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,14778531042.191605,+10%,HC,11.979277931507866,0.4501052162229071,159890397958414.3,6651893910.202597,13661835.053556712,9,14778531042.191605
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,13183577220.354832,+10%,HC,11.979277931507866,0.4501052162229071,142634433845965.1,5933996875.359204,12166717.207060823,10,13183577220.354832
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,11910032261.971565,+10%,HC,11.979277931507866,0.4501052162229071,128855824210644.0,5360767646.4965105,10991272.949343722,11,11910032261.971565
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,10549155927.835037,+10%,HC,11.979277931507866,0.4501052162229071,114132367730695.4,4748230109.867352,9735262.702692857,12,10549155927.835037
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,9325218130.582855,+10%,HC,11.979277931507866,0.4501052162229071,100890462908064.58,4197329322.99177,8605653.814669184,13,9325218130.582855
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,8340358181.287504,+10%,HC,11.979277931507866,0.4501052162229071,90235165113136.69,3754038722.564904,7696698.643490107,14,8340358181.287504
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,7463061085.803823,+10%,HC,11.979277931507866,0.4501052162229071,80743600537186.47,3359162723.710494,6887025.4078193195,15,7463061085.803823
2036,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,6651870552.67022,+10%,HC,11.979277931507866,0.4501052162229071,71967249437571.66,2994041633.396418,6138374.573528238,16,6651870552.67022
2037,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,5906281277.718918,+10%,HC,11.979277931507866,0.4501052162229071,63900644878218.195,0.0,5450277.703597865,17,0.0
