"op_segment","analysis_year","Base_btu_per_mi","Base_co2kg_per_mi","Base_dollar_per_mi","Base_Mbtu","Base_Mco2kg","Base_Mdollar"
"First-mile",2020,33397.2753925094,2.89721364030019,0.868987369059556,384346433.597502,33.3420531145833,10000.5821497111
"First-mile",2021,32940.6954115324,2.85282892611577,0.861783566077485,392981400.132866,34.0341541585069,10281.0492668002
"First-mile",2022,32393.3243071908,2.80072681959971,0.853721981362114,404055388.954255,34.9346289289849,10648.828874951
"First-mile",2023,31815.8721512129,2.74618700473194,0.845722122599479,404784263.221926,34.9389536800005,10759.8812523473
"First-mile",2024,31254.0306662701,2.69315982251249,0.838407570037906,405426502.78433,34.9356017449258,10875.8019936039
"First-mile",2025,30695.3725659223,2.64068728833562,0.831566737663992,406673697.471856,34.9856663608835,11017.175933413
"First-mile",2026,30145.4756121099,2.58920739248139,0.82516017707262,404786987.452379,34.7673220942961,11080.0740562448
"First-mile",2027,29614.8486929912,2.53957797620243,0.819207511262723,401645267.447221,34.4425016662772,11110.3326364034
"First-mile",2028,29097.675314402,2.49126555941153,0.813558734912624,397685845.220025,34.0488042071094,11119.128577592
"First-mile",2029,28594.7633369719,2.44430690931502,0.808162085932396,393317169.624945,33.6211167036813,11116.1620920337
"First-mile",2030,28102.5060808657,2.39836998259003,0.80292591438095,389342983.841524,33.2279449630059,11124.0460338024
"First-mile",2031,27612.9247471758,2.35687593678677,0.797771098315255,385223914.837713,32.8804349220074,11129.5890765362
"First-mile",2032,27126.812603317,2.31568663393727,0.792681614514536,380231192.353519,32.4585237054872,11110.8621514464
"First-mile",2033,26648.5077493459,2.2751643034274,0.787686140600273,375230830.58867,32.0360073941368,11091.2073411645
"First-mile",2034,26178.5998200105,2.23535406573161,0.782763200231528,370780214.730917,31.6604045361529,11086.655109929
"First-mile",2035,25718.846682954,2.19639960983033,0.777914434798336,366566735.168123,31.3049431813623,11087.4938569147
"First-mile",2036,25266.9846272652,2.15810373502407,0.759840971702914,361653456.182225,30.8895456297944,9521.16964526124
"First-mile",2037,24824.9474792557,2.1206280971031,0.755538764396211,356833814.506942,30.4819099283987,9490.34533760506
"First-mile",2038,24382.3377037519,2.08308933261203,0.75100414204625,352386153.342664,30.1058842637282,9445.72750276927
"First-mile",2039,23941.7369402283,2.04570621582102,0.74630273751841,347669659.967408,29.706699485644,9389.07045565073
"First-mile",2040,23499.3041620663,2.00814976811325,0.741505408221284,342366398.773522,29.2571643638984,9329.9351013741
"First-mile",2041,23105.6642658289,1.97492232516448,0.736974197474898,338895880.214279,28.9666218655858,9293.35530379398
"First-mile",2042,22736.5488096113,1.94379740983795,0.732716286999629,336359117.006495,28.7560784131065,9287.4275856378
"First-mile",2043,22396.6911993094,1.91517634855003,0.728765168806505,334305061.123206,28.5869524460596,9298.83477659577
"First-mile",2044,22081.4769242737,1.88866510903352,0.725122863044162,331883160.524993,28.3865136244704,9305.77267403283
"First-mile",2045,21782.7700023658,1.86356964653254,0.721782698785709,329226546.613683,28.166142278294,9317.43570865647
"First-mile",2046,21509.9664792266,1.8406836726038,0.71871976817095,326759057.568868,27.9619246605189,9328.27096972924
"First-mile",2047,21259.553453843,1.81970781271719,0.715864501708438,324304314.962406,27.7587719288766,9329.85413461149
"First-mile",2048,21021.0480927911,1.79975395509124,0.713180234889291,322074268.628831,27.5749542191781,9338.50307642536
"First-mile",2049,20794.329027265,1.7808119211239,0.710645865032559,320152447.888031,27.4176336744725,9356.21819372631
"First-mile",2050,20596.284995908,1.76430972098633,0.708250930715819,319005683.933765,27.3265217162247,9374.29149425945
"First-mile",2051,20527.1178100609,1.75850484481876,0.707212003008122,291602002.337316,24.9807858372446,8445.30331106177
"First-mile",2052,20453.3690551913,1.75230026025828,0.706268780239124,262857984.509429,22.5198163404739,7487.61117028061
"First-mile",2053,20410.3675212425,1.74869222837763,0.705430432104592,236097048.247745,20.2280077996654,6571.0099816408
"First-mile",2054,20372.069153892,1.74547118728679,0.704689769715953,210542802.236449,18.0392277396198,5694.07946105356
"First-mile",2055,20329.0833990677,1.74185583561353,0.704002951609609,187203990.899893,16.0401901845744,4895.17695751685
"First-mile",2056,20283.9137372594,1.73805793033098,0.703413826680535,166003281.160687,14.2242430637194,4169.5792150683
"First-mile",2057,20237.8668364594,1.73418814066173,0.70280104044832,146882270.597168,12.5863804620052,3513.98329760844
"First-mile",2058,20191.3100751115,1.73027590245108,0.702159595695687,129685198.075026,11.1132547763904,2922.08365106717
"First-mile",2059,20144.4288513742,1.72633722386667,0.701484016172237,114257621.17717,9.79164939368085,2388.08665289948
"First-mile",2060,20098.2048395957,1.72245520191068,0.700773935778731,100473426.070599,8.61076781584704,1908.74454476109
