"analysis_year","Base_btu_per_mi","Base_co2kg_per_mi","Base_dollar_per_mi","Base_Mbtu","Base_Mco2kg","Base_Mdollar"
2020,19767.7780894967,1.71552261277588,0.911150643279071,3903169211.86193,338.731799503432,179907.682194424
2021,19484.1695812364,1.68872049699434,0.900986560902488,3936457813.84553,341.178358568396,182029.599621733
2022,19128.1416422372,1.65571745944475,0.890123685323002,3995613050.25488,345.857240720355,185934.937117163
2023,18745.1143008762,1.62039239797024,0.880112264485237,3964553034.40335,342.709651975647,186141.929719652
2024,18366.5200505826,1.58541523035053,0.871739094962217,3941962071.58931,340.273861817584,187099.267536729
2025,18464.9263590952,1.60189543699636,0.891326796785976,4034164805.0398,349.977577359871,194734.553685978
2026,19020.845493242,1.66519271976411,0.937373482964393,4202941691.65127,367.949358981826,207126.759617451
2027,19968.3991301349,1.76596124491109,1.00591820263603,4455219208.57055,394.009775578133,224433.920287156
2028,21262.1188696742,1.89751928160463,1.09413527035292,4784410526.66127,426.980550767236,246202.757926171
2029,22844.4524123318,2.05230899098221,1.19896399509054,5186218151.90931,465.921526602798,272192.509699539
2030,24697.7260097948,2.22707211104032,1.31902048059268,5663880530.13613,510.730030931915,302488.351191397
2031,26814.7290385817,2.43725160627467,1.45397325516676,6218940566.71043,565.253628471624,337209.197469736
2032,29159.2798070075,2.66766513338966,1.60088440745249,6823674111.56321,624.270476826257,374629.056651583
2033,31708.2282680472,2.91583794162969,1.75898792495373,7489571822.40734,688.729042244935,415477.846548869
2034,34428.2818904704,3.17827978357304,1.9708505094063,8227028946.01645,759.486048742731,452850.145178538
2035,37284.7445166568,3.45142409464128,2.15278277450644,9024708017.41008,835.41124130477,501376.368096291
2036,40257.5522061759,3.7332139579994,2.38933242067491,9854689414.06709,913.85745173797,544812.705231401
2037,43336.5819053562,4.02254083923449,2.66558810446788,10729531184.1424,995.924816320556,587363.712983994
2038,46545.7657580559,4.32165637616675,2.88648343293769,11673742579.7912,1083.8774103733,643987.074065203
2039,49873.2814198414,4.62927662318445,3.11452359620837,12671903410.3097,1176.2158927297,703072.728454177
2040,53273.5629233331,4.94094838985794,3.34444150634899,13704116075.7889,1271.01185923195,763799.594782687
2041,56705.559312047,5.26980132900204,3.57511164609945,14823453595.1847,1377.58372201981,828475.360332841
2042,60162.8878955586,5.60087947455398,3.80506923079649,16035442370.3378,1492.82361899467,897284.780705864
2043,63663.3467661989,5.93586496259849,4.03376797187586,17311841426.0931,1614.12740892482,968940.383414084
2044,67218.2371639563,6.27586690362695,4.26011773856628,18608034442.7996,1737.34915446038,1041254.90828768
2045,70811.7193281556,6.61942433962398,4.48346839231769,19933647916.5823,1863.38187306314,1114857.71449728
2046,74364.967222111,6.95901066813633,4.70351819112231,21287970575.1147,1992.11026198299,1189530.76205547
2047,77901.1198625241,7.2968534861759,4.92098685173688,22660479534.9426,2122.56511054995,1264810.05852288
2048,81463.7640460798,7.63714695828261,5.13721259282302,24090332546.148,2258.44474636309,1342980.45311076
2049,85036.6303393195,7.97834290933333,5.3511290138527,25584725324.5154,2400.42098405803,1424651.19379891
2050,88555.3373455761,8.31426135573177,5.56239701132799,27128931944.35,2547.07437460238,1508637.83326703
2051,89363.4043938563,8.39129125684516,5.63366652142244,24911600011.9758,2339.2180814106,1370454.73308531
